date, pm25, pm10, o3, no2, so2, co
2024/11/1, 17, 6, , 7, , 
2024/11/2, 8, 2, , 3, , 
2024/11/3, 4, 15, , 6, , 
2024/11/4, 28, 4, , 3, , 
2024/11/5, 9, 16, , 5, , 
2024/11/6, 28, 16, , 4, , 
2024/11/7, 35, 9, , 5, , 
2024/11/8, 18, 5, , 4, , 
2024/11/9, 10, 11, , 4, , 
2024/11/10, 24, 8, , 4, , 
2024/11/11, 16, 23, , 2, , 
2024/11/12, 44, 37, , 1, , 
2024/11/13, 57, 6, , , , 
2024/11/14, 14, 14, , , , 
2024/11/15, 27, 17, , 2, , 
2024/11/16, 23, 9, , , , 
2024/11/17, 13, 7, , , , 
2024/11/18, 11, , , , , 
2024/10/1, 15, 6, , 5, , 
2024/10/2, 8, 2, , 4, , 
2024/10/3, 3, 13, , 6, , 
2024/10/4, 10, 34, , 5, , 
2024/10/5, 22, 56, , 3, , 
2024/10/6, 41, 24, , 7, , 
2024/10/7, 18, 12, , 6, , 
2024/10/8, 13, 5, , 6, , 
2024/10/9, 7, 5, , 5, , 
2024/10/10, 8, 15, , 7, , 
2024/10/11, 17, 12, , 6, , 
2024/10/12, 12, 9, , 5, , 
2024/10/13, 9, 29, , 11, 1, 
2024/10/14, 23, 5, , 9, , 
2024/10/15, 7, 10, , 9, 1, 
2024/10/16, 25, 4, , 4, 1, 
2024/10/17, 9, 4, , 4, , 
2024/10/18, 6, 7, , 4, , 
2024/10/19, 14, 6, , 6, , 
2024/10/20, 10, 3, , 5, , 
2024/10/21, 5, 3, , 5, , 
2024/10/22, 4, 4, , 4, , 
2024/10/23, 8, 6, , 4, , 
2024/10/24, 10, 10, , 4, , 
2024/10/25, 20, 12, , 4, , 
2024/10/26, 24, 5, , 4, , 
2024/10/27, 7, 7, , 4, , 
2024/10/28, 13, 10, , 4, , 
2024/10/29, 18, 9, , 8, , 
2024/10/30, 16, 9, , 4, , 
2024/10/31, 15, 13, , 5, , 
2024/7/1, 40, 10, 11, 4, , 
2024/7/2, 20, 5, 8, 5, , 
2024/7/3, 8, 5, 8, 5, , 
2024/7/4, 9, 5, 7, 4, , 
2024/7/5, 8, 5, 10, 4, , 
2024/7/6, 8, 8, 11, 4, , 
2024/7/7, 15, 7, 11, 4, , 
